"search-number","evaluation","population*","mean-strength*","stddev-strength*","egg-laying-radius*","expected-egg-quantity*","inherit-parent-strength*","fitness","num-replicates","best-fitness-so-far"
"2","130","28","50","5","5","8","false","50.31217806628755","10","82.04417973622401"
"2","140","36","59","9","4","10","false","59.73680152273937","10","82.04417973622401"
"2","150","28","58","7","6","6","true","76.68071784713737","10","82.04417973622401"
"2","160","20","50","8","5","10","false","50.57384012690504","10","82.04417973622401"
"2","170","32","55","9","7","8","false","55.90102882420606","10","82.04417973622401"
"2","180","20","52","5","5","5","false","52.271151815454274","10","82.04417973622401"
"2","190","36","50","8","4","6","true","75.29317529899166","10","82.04417973622401"
"2","200","36","54","7","7","4","false","55.00846227359864","10","82.04417973622401"
"2","210","28","59","10","5","4","false","60.13073193457266","10","82.04417973622401"
"2","220","24","57","9","4","6","true","80.8550935874288","10","82.04417973622401"
"2","230","20","50","5","7","4","true","63.0016994361509","10","82.04417973622401"
"2","240","20","50","9","4","9","true","73.63701726276751","10","82.04417973622401"
"2","250","40","50","10","8","8","true","87.89409049947366","10","87.89409049947366"
"2","260","20","52","8","9","3","true","71.20647911709439","10","87.89409049947366"
"2","270","24","50","8","4","8","false","50.47754273974014","10","87.89409049947366"
"2","280","20","52","9","8","7","false","52.93187505442906","10","87.89409049947366"
"2","290","20","50","7","5","9","false","50.31939543182746","10","87.89409049947366"
"2","300","24","55","5","4","7","true","62.93065900159132","10","87.89409049947366"
"2","310","36","54","8","7","6","false","54.49740697746057","10","87.89409049947366"
"2","320","40","52","9","7","10","true","82.64454948630643","10","87.89409049947366"
"2","330","32","56","10","5","8","true","87.18552249525416","10","87.89409049947366"
"2","340","36","54","9","4","6","true","82.06405944578395","10","87.89409049947366"
"2","350","20","57","5","9","3","true","66.69113537374912","10","87.89409049947366"
"2","360","40","52","9","5","3","true","77.8326375580267","10","87.89409049947366"
"2","370","32","57","9","5","8","true","86.86646800200691","10","87.89409049947366"
"2","380","40","53","9","7","6","false","53.85950218257303","10","87.89409049947366"
"2","390","20","50","6","4","4","true","64.81752458531484","10","87.89409049947366"
"2","400","32","54","8","4","9","true","75.37418204563059","10","87.89409049947366"
"2","410","32","59","10","9","6","false","59.79305588331723","10","87.89409049947366"
"2","420","40","50","8","4","5","true","72.20176305558562","10","87.89409049947366"
"2","430","32","54","9","7","4","false","54.75417864064558","10","87.89409049947366"
"2","440","40","57","5","6","6","false","57.28830360088689","10","87.89409049947366"
"2","450","32","52","8","5","9","true","77.286932100748","10","87.89409049947366"
"2","460","36","59","8","4","7","true","80.6822200662026","10","87.89409049947366"
"2","470","20","54","8","6","5","true","76.42393715525283","10","87.89409049947366"
"2","480","20","50","8","4","9","true","72.91671232393784","10","87.89409049947366"
"2","490","24","55","6","6","3","true","65.86383754369248","10","87.89409049947366"
"2","500","40","55","10","5","8","true","90.13949826015985","10","90.13949826015985"
"3","10","24","57","8","4","8","true","77.19529655656405","10","77.19529655656405"
"3","20","32","54","8","7","10","true","79.35131202553427","10","79.35131202553427"
"3","30","28","53","7","7","6","false","53.60325442708297","10","79.35131202553427"
"3","40","32","50","9","7","4","false","50.5267642002444","10","79.35131202553427"
"3","50","40","51","8","4","7","false","51.515012864056146","10","79.35131202553427"
"3","60","20","59","9","5","8","true","85.59367750940439","10","85.59367750940439"
"3","70","32","53","10","8","3","false","54.453114311174076","10","85.59367750940439"
"3","80","40","54","5","8","10","true","68.481923601988","10","85.59367750940439"
"3","90","28","53","6","7","6","true","68.6028168815498","10","85.59367750940439"
"3","100","28","60","8","4","4","false","60.39734324771545","10","85.59367750940439"
"3","110","20","56","5","7","3","false","56.62844263868639","10","85.59367750940439"
"3","120","24","59","5","8","6","false","59.142467511983","10","85.59367750940439"
"3","130","24","52","7","7","3","true","67.1801698846973","10","85.59367750940439"
"3","140","32","52","7","7","5","false","52.451262906439595","10","85.59367750940439"
"3","150","40","50","9","5","4","true","76.79706219805095","10","85.59367750940439"
"3","160","24","52","8","6","5","false","52.701349108124916","10","85.59367750940439"
"3","170","20","59","5","6","6","true","69.68513450780998","10","85.59367750940439"
"3","180","40","52","7","6","5","false","52.193443764110576","10","85.59367750940439"
"3","190","20","50","9","5","4","false","51.47269001530327","10","85.59367750940439"
"3","200","36","52","7","7","4","false","52.52999533002164","10","85.59367750940439"
"3","210","24","60","8","8","4","true","78.0768930652834","10","85.59367750940439"
"3","220","24","52","9","5","7","false","52.48814283877941","10","85.59367750940439"
"3","230","32","50","6","6","4","false","50.252271241042386","10","85.59367750940439"
"3","240","28","59","10","5","8","false","59.54117970315353","10","85.59367750940439"
"3","250","40","58","5","8","9","false","58.07146994425857","10","85.59367750940439"
"3","260","32","50","7","6","8","false","50.40166531680897","10","85.59367750940439"
"3","270","40","50","8","7","3","true","72.72957654193316","10","85.59367750940439"
"3","280","32","51","5","4","8","false","51.129362790362684","10","85.59367750940439"
"3","290","20","57","9","7","4","true","82.37703071636635","10","85.59367750940439"
"3","300","28","54","8","7","7","false","54.65669456756259","10","85.59367750940439"
"3","310","28","58","10","7","10","false","58.66901741518958","10","85.59367750940439"
"3","320","36","51","8","6","10","true","77.75601348531939","10","85.59367750940439"
"3","330","28","58","7","5","3","true","73.23887828331166","10","85.59367750940439"
"3","340","20","52","10","4","5","false","53.23420248475183","10","85.59367750940439"
"3","350","28","57","8","4","4","true","78.88783299423213","10","85.59367750940439"
"3","360","32","54","8","7","3","true","74.79297166478462","10","85.59367750940439"
"3","370","32","52","5","5","6","true","64.60479219799578","10","85.59367750940439"
"3","380","28","59","10","4","8","true","88.1350067384765","10","88.1350067384765"
"3","390","24","51","8","9","7","false","51.37049603459718","10","88.1350067384765"
"3","400","36","52","9","9","6","false","52.315255302626085","10","88.1350067384765"
"3","410","36","59","7","4","10","true","76.6799662769995","10","88.1350067384765"
"3","420","20","57","5","7","6","true","65.62571126842445","10","88.1350067384765"
"3","430","40","50","7","5","6","false","50.520532204609204","10","88.1350067384765"
"3","440","32","50","5","6","10","false","50.16279015521694","10","88.1350067384765"
"3","450","32","56","5","5","6","true","68.07078640677084","10","88.1350067384765"
"3","460","32","50","8","6","8","true","74.92186439715128","10","88.1350067384765"
"3","470","24","53","5","9","10","true","66.86233807264917","10","88.1350067384765"
"3","480","20","52","8","7","8","false","52.54247859553492","10","88.1350067384765"
"3","490","28","59","5","6","10","true","70.56846777111409","10","88.1350067384765"
"3","500","36","52","6","8","6","true","68.54836469444339","10","88.1350067384765"
"4","10","32","57","9","8","6","false","57.57872907530657","10","57.57872907530657"
"4","20","40","60","8","7","7","true","81.2989584593128","10","81.2989584593128"
"4","30","20","59","5","4","9","false","59.10005365608026","10","81.2989584593128"
"4","40","40","50","7","9","9","false","50.52054713764828","10","81.2989584593128"
"4","50","28","54","10","6","6","false","54.5375213207533","10","81.2989584593128"
"4","60","32","50","8","6","8","true","77.129369429626","10","81.2989584593128"
"4","70","40","56","7","9","7","true","76.81311796146893","10","81.2989584593128"
"4","80","32","51","8","7","6","true","75.59632008301861","10","81.2989584593128"
"4","90","36","55","8","8","8","true","80.7263352383272","10","81.2989584593128"
"4","100","20","59","9","7","9","true","88.43053935236128","10","88.43053935236128"
"4","110","36","52","5","9","5","true","63.54536753348664","10","88.43053935236128"
"4","120","32","50","5","7","4","true","60.88194046295196","10","88.43053935236128"
"4","130","20","53","9","8","5","false","54.05232776800191","10","88.43053935236128"
"4","140","32","50","7","8","5","false","50.794782377372464","10","88.43053935236128"
"4","150","20","58","5","4","3","false","58.305558633037435","10","88.43053935236128"
"4","160","20","52","8","7","10","false","52.33079510549542","10","88.43053935236128"
"4","170","20","53","8","5","5","true","72.87047662039444","10","88.43053935236128"
"4","180","36","50","10","8","10","true","88.63395739176822","10","88.63395739176822"
"4","190","32","53","10","7","5","true","83.60324638028472","10","88.63395739176822"
"4","200","40","53","10","7","10","true","85.11436214759391","10","88.63395739176822"
"4","210","40","54","5","4","4","false","54.09169231477549","10","88.63395739176822"
"4","220","32","57","6","9","10","false","57.33169462347521","10","88.63395739176822"
"4","230","36","60","7","9","4","false","60.48200664881737","10","88.63395739176822"
"4","240","36","51","7","5","3","false","51.55878504802693","10","88.63395739176822"
"4","250","40","50","10","9","10","true","84.8831429942197","10","88.63395739176822"
"4","260","28","55","10","4","5","false","55.851947768449904","10","88.63395739176822"
"4","270","36","53","6","4","3","true","64.51208437678682","10","88.63395739176822"
"4","280","24","54","5","7","9","false","54.08695029138371","10","88.63395739176822"
"4","290","32","59","6","6","9","false","59.210578672856784","10","88.63395739176822"
"4","300","32","60","6","4","10","true","73.14971547729995","10","88.63395739176822"
"4","310","20","51","5","9","7","true","63.96678727162667","10","88.63395739176822"
"4","320","24","57","8","8","3","false","57.424649086110755","10","88.63395739176822"
"4","330","32","54","10","5","9","true","86.5701122546304","10","88.63395739176822"
"4","340","32","59","8","9","5","true","78.57466067749189","10","88.63395739176822"
"4","350","36","57","6","5","5","false","57.2702113986072","10","88.63395739176822"
"4","360","28","59","5","4","3","false","59.402302909910915","10","88.63395739176822"
"4","370","24","59","8","5","9","false","59.67919663066002","10","88.63395739176822"
"4","380","20","59","5","8","9","true","69.50340280133773","10","88.63395739176822"
